iter	Passed	Remaining
0	2	2507
1	4	2444
2	7	2423
3	9	2353
4	11	2357
5	14	2415
6	17	2426
7	19	2451
8	22	2456
9	24	2443
10	26	2425
11	29	2429
12	31	2407
13	33	2392
14	36	2374
15	38	2355
16	40	2328
17	42	2305
18	44	2301
19	46	2289
20	48	2281
21	51	2268
22	53	2253
23	54	2233
24	57	2230
25	59	2216
26	61	2202
27	63	2195
28	65	2185
29	67	2170
30	68	2152
31	70	2138
32	72	2126
33	74	2114
34	76	2101
35	78	2092
36	80	2089
37	82	2085
38	84	2075
39	86	2071
40	88	2064
41	90	2056
42	92	2054
43	95	2066
44	96	2057
45	98	2050
46	101	2048
47	102	2041
48	104	2036
49	106	2028
50	108	2025
51	110	2020
52	112	2012
53	114	2007
54	116	2004
55	118	1997
56	120	1991
57	122	1990
58	124	1987
59	126	1981
60	128	1977
61	130	1974
62	132	1969
63	134	1963
64	136	1960
65	138	1957
66	140	1952
67	142	1948
68	144	1943
69	146	1940
70	147	1935
71	149	1930
72	151	1928
73	154	1927
74	155	1922
75	157	1918
76	159	1913
77	161	1911
78	163	1907
79	165	1903
80	167	1900
81	169	1896
82	171	1892
83	173	1889
84	175	1887
85	177	1883
86	179	1878
87	181	1881
88	183	1878
89	185	1874
90	187	1870
91	189	1867
92	191	1865
93	193	1860
94	194	1855
95	196	1852
96	198	1848
97	200	1844
98	202	1842
99	204	1839
100	206	1837
101	208	1832
102	210	1832
103	212	1829
104	214	1825
105	215	1821
106	217	1818
107	219	1814
108	221	1812
109	223	1809
110	225	1805
111	227	1802
112	229	1799
113	231	1796
114	233	1794
115	235	1792
116	237	1789
117	238	1785
118	240	1782
119	242	1780
120	244	1776
121	246	1772
122	248	1770
123	250	1767
124	251	1763
125	253	1760
126	255	1758
127	257	1756
128	259	1754
129	261	1751
130	263	1748
131	265	1745
132	267	1742
133	269	1740
134	271	1739
135	273	1737
136	275	1733
137	277	1731
138	280	1739
139	282	1735
140	284	1733
141	286	1732
142	288	1728
143	290	1725
144	292	1722
145	294	1721
146	296	1718
147	298	1715
148	300	1714
149	302	1712
150	304	1709
151	305	1706
152	307	1703
153	309	1699
154	311	1696
155	313	1693
156	315	1691
157	316	1689
158	318	1686
159	320	1683
160	322	1680
161	324	1677
162	326	1674
163	327	1671
164	329	1669
165	331	1667
166	333	1665
167	335	1662
168	337	1660
169	339	1657
170	341	1654
171	343	1652
172	345	1650
173	347	1648
174	349	1645
175	351	1644
176	353	1642
177	355	1640
178	357	1637
179	359	1635
180	360	1633
181	362	1630
182	364	1628
183	366	1626
184	368	1623
185	370	1621
186	372	1618
187	374	1615
188	376	1613
189	377	1610
190	379	1608
191	381	1607
192	383	1605
193	385	1602
194	387	1600
195	389	1598
196	391	1595
197	393	1593
198	395	1590
199	397	1590
200	399	1588
201	401	1585
202	403	1584
203	405	1581
204	407	1579
205	409	1577
206	411	1575
207	413	1573
208	415	1571
209	416	1568
210	418	1566
211	420	1563
212	422	1560
213	424	1559
214	426	1558
215	428	1555
216	430	1553
217	432	1551
218	434	1549
219	436	1547
220	438	1544
221	440	1543
222	442	1540
223	444	1538
224	445	1536
225	448	1534
226	449	1531
227	451	1529
228	453	1526
229	455	1524
230	457	1521
231	458	1519
232	460	1516
233	462	1514
234	464	1512
235	466	1510
236	468	1508
237	470	1506
238	472	1504
239	474	1501
240	476	1499
241	477	1497
242	479	1494
243	481	1492
244	483	1490
245	485	1487
246	487	1484
247	488	1482
248	490	1480
249	492	1478
250	494	1476
251	496	1474
252	498	1471
253	500	1470
254	502	1468
255	504	1465
256	506	1464
257	508	1462
258	510	1460
259	512	1457
260	514	1457
261	516	1454
262	518	1452
263	520	1450
264	522	1448
265	524	1446
266	526	1444
267	528	1444
268	530	1442
269	532	1439
270	534	1437
271	536	1435
272	538	1433
273	539	1430
274	542	1429
275	543	1426
276	545	1424
277	547	1422
278	549	1419
279	551	1417
280	553	1415
281	554	1412
282	556	1410
283	558	1408
284	560	1406
285	562	1404
286	564	1402
287	566	1401
288	568	1398
